Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Julian Hill,MIA,TE,23,15,4,9,6,0,0,0,0,0,0,48,0,3,0,1,1
Trishton Jackson,MIN,WR,25,7,0,4,2,0,0,0,0,0,0,9,0,3,0,0,0
James Mitchell,DET,TE,24,15,1,2,2,0,0,0,0,0,0,28,0,3,0,0,0
Jalen Nailor,MIN,WR,24,6,1,6,3,0,0,0,0,0,0,29,0,3,0,0,0
Teagan Quitoriano,HOU,TE,23,7,5,3,2,0,0,0,0,0,0,33,0,3,0,0,0
Cooper Rush,DAL,QB,30,7,0,0,0,144,0,24,-5,0,12,0,0,3,1,0,0
Steven Sims,HOU,WR,26,3,0,3,3,0,0,0,1,0,1,25,0,3,0,0,0
Keith Smith,ATL,FB,31,13,6,3,3,0,0,0,0,0,0,33,0,3,0,0,0
Sean Tucker,TAM,RB,22,11,0,2,2,0,0,0,23,0,15,9,0,3,0,0,0
Malik Willis,TEN,QB,24,3,0,0,0,74,0,5,21,0,5,0,0,3,0,1,1
Charlie Woerner,SFO,TE,26,17,2,3,3,0,0,0,0,0,0,32,0,3,0,0,0
Kenny Yeboah,NYJ,TE,25,5,1,4,2,0,0,0,0,0,0,28,0,3,0,0,0
Nate Adkins,DEN,TE,24,10,1,5,4,0,0,0,0,0,0,22,0,2,0,0,0
Kayshon Boutte,NWE,WR,21,5,0,7,2,0,0,0,0,0,0,19,0,2,0,0,0
Miles Boykin,PIT,WR,27,17,0,4,3,0,0,0,0,0,0,17,0,2,0,0,0
DeeJay Dallas,SEA,RB,25,17,0,9,6,0,0,0,36,0,10,26,0,2,0,2,2
Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,21,0,6,0,0,2,0,0,0
Elijah Dotson,LAC,RB,24,4,0,2,2,0,0,0,6,0,4,13,0,2,0,0,0
Zach Evans,LAR,RB,22,10,0,0,0,0,0,0,19,0,9,0,0,2,0,0,0
Erik Ezukanma,MIA,WR,23,2,0,1,0,0,0,0,22,0,5,0,0,2,0,0,0
Jake Funk,IND,RB,25,4,0,1,1,0,0,0,10,0,2,12,0,2,0,0,0
Jaren Hall,MIN,QB,25,3,2,0,0,168,0,20,14,0,6,0,0,2,1,2,2
Marvin Jones,DET,WR,33,6,4,10,5,0,0,0,0,0,0,35,0,2,0,1,1
Zonovan Knight,DET,RB,22,2,0,1,1,0,0,0,13,0,3,8,0,2,0,0,0
Chris Manhertz,DEN,TE,31,16,4,4,2,0,0,0,0,0,0,16,0,2,0,0,0
Nick Muse,MIN,TE,25,2,0,1,1,0,0,0,0,0,0,22,0,2,0,0,0
Gunner Olszewski,2TM,WR,27,12,0,1,1,0,0,0,0,0,0,0,0,2,0,4,2
Zach Pascal,ARI,WR,29,14,1,15,4,0,0,0,0,0,0,19,0,2,0,0,0
Laquon Treadwell,BAL,WR,28,5,1,3,1,0,0,0,0,0,0,16,0,2,0,0,0
